CGPA_Class,Gender,V1-1_(1),Time_Day_Watched_(V1-1),Student_Rating_(V1-1),V1-2_(1),Time_Day_Watched_(V1-2),Student_Rating_(V1-2),V1-3_(1),Time_Day_Watched_(V1-3),Student_Rating_(V1-3),V1-4_(1),Time_Day_Watched_(V1-4),Student_Rating_(V1-4),Overall_Rating_V1,Watch_Status_V1,V1_PercentWatched,V2-1_(2),Time_Day_Watched_(V2-1),Student_Rating_(V2-1),V2-2_(2),Time_Day_Watched_(V2-2),Student_Rating_(V2-2),V2-3_(2),Time_Day_Watched_(V2-3),Student_Rating_(V2-3),V2-4_(2),Time_Day_Watched_(V2-4),Student_Rating_(V2-4),Overall_Rating_V2,Watch_Status_V2,V2_PercentWatched,V3-1_(3),Time_Day_Watched_(V3-1),Student_Rating_(V3-1),V3-2_(3),Time_Day_Watched_(V3-2),Student_Rating_(V3-2),V3-3_(3),Time_Day_Watched_(V3-3),Student_Rating_(V3-3),V3-4_(3),Time_Day_Watched_(V3-4),Student_Rating_(V3-4),Overall_Rating_V3,Watch_Status_V3,V3_PercentWatched,A/R_Score,Active,Reflective,S/I_Score,Sensing,Intuitive,Vi/Vb_Score,Visual,Verbal,S/G_Score,Sequential,Global,Quiz,part_day_V1-1,part_day_V1-2,part_day_V1-3,part_day_V1-4,part_day_V2-1,part_day_V2-2,part_day_V2-3,part_day_V2-4,part_day_V3-1,part_day_V3-2,part_day_V3-3,part_day_V3-4
2.67 - 3.32,Male,6,2021-02-02 22:58:00,Excellent,50.0,2021-02-02 23:03:00,Satisfactory,22.0,2021-02-02 23:05:00,Very Good,5,2021-02-02 23:06:00,Very Good,Very Good,Completed,100.0,13,2021-02-02 23:11:00,Very Good,35.0,2021-02-02 23:19:00,Satisfactory,12.0,2021-02-02 23:20:00,Very Good,7.0,2021-02-02 23:21:00,Very Good,Very Good,Completed,100.0,9.0,2021-02-02 23:40:00,Excellent,4.0,2021-02-02 23:52:00,Very Good,13.0,2021-02-02 23:55:00,Very Good,5.0,2021-02-02 23:56:00,Very Good,Very Good,Completed,100.0,3,1,0,3,1,0,7,1,0,1,1,0,10,night,night,night,night,night,night,night,night,night,night,night,night
2.67 - 3.32,Male,6,2021-02-03 00:07:00,Very Good,50.0,2021-02-03 19:07:00,Very Good,22.0,2021-02-03 19:09:00,Very Good,5,2021-02-03 19:10:00,Very Good,Very Good,Completed,100.0,13,2021-02-03 19:12:00,Very Good,35.0,2021-02-03 19:19:00,Very Good,12.0,2021-02-03 19:20:00,Very Good,7.0,2021-02-03 19:13:00,Very Good,Very Good,Completed,100.0,10.0,2021-02-03 19:32:00,Very Good,4.0,2021-02-03 19:23:00,Very Good,13.0,2021-02-03 19:34:00,Very Good,5.0,2021-02-03 19:24:00,Very Good,Very Good,Rewatched,103.2258065,3,0,1,9,1,0,7,1,0,3,0,1,8,midnight,night,night,night,night,night,night,night,night,night,night,night
2.67 - 3.32,Male,6,2021-02-01 21:48:00,Excellent,50.0,2021-02-01 23:45:00,Satisfactory,22.0,2021-02-01 18:39:00,Very Good,5,2021-02-01 18:22:00,Satisfactory,Very Good,Completed,100.0,13,2021-02-01 23:29:00,Very Good,35.0,2021-02-02 19:04:00,Satisfactory,12.0,2021-02-01 18:28:00,Very Good,7.0,2021-02-01 18:23:00,Excellent,Very Good,Completed,100.0,9.0,2021-02-02 20:33:00,Excellent,4.0,2021-02-02 21:10:00,Very Good,13.0,2021-02-01 18:29:00,Very Good,5.0,2021-02-01 18:17:00,Very Good,Very Good,Completed,100.0,1,0,1,7,1,0,7,1,0,3,0,1,6,night,night,afternoon,afternoon,night,night,afternoon,afternoon,night,night,afternoon,afternoon
3.67 - 4.00,Male,6,2021-01-31 00:08:00,Excellent,50.0,2021-01-31 00:32:00,Very Good,22.0,2021-01-31 00:42:00,Excellent,5,2021-01-30 15:24:00,Excellent,Excellent,Completed,100.0,15,2021-01-31 00:48:00,Excellent,60.0,2021-01-31 01:16:00,Excellent,12.0,2021-01-31 00:51:00,Very Good,7.0,2021-01-31 00:50:00,Excellent,Excellent,Rewatched,140.2985075,9.0,2021-01-31 01:21:00,Excellent,4.0,2021-01-31 00:14:00,Excellent,13.0,2021-01-31 00:17:00,Very Good,5.0,2021-01-31 00:15:00,Excellent,Excellent,Completed,100.0,3,0,1,3,1,0,7,1,0,1,1,0,5,midnight,midnight,midnight,afternoon,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight
2.67 - 3.32,Male,6,2021-02-03 17:00:00,Very Good,50.0,2021-02-03 16:38:00,Very Good,22.0,2021-01-29 13:40:00,Satisfactory,5,2021-01-29 14:21:00,Very Good,Very Good,Completed,100.0,13,2021-02-03 15:27:00,Excellent,35.0,2021-02-03 17:40:00,Very Good,12.0,2021-01-29 14:02:00,Very Good,7.0,2021-01-29 14:45:00,Satisfactory,Very Good,Completed,100.0,9.0,2021-02-03 14:49:00,Very Good,4.0,2021-02-03 14:22:00,Very Good,13.0,2021-01-29 15:18:00,Excellent,5.0,2021-01-29 14:58:00,Very Good,Very Good,Completed,100.0,3,1,0,1,1,0,5,1,0,3,0,1,8,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
3.33 - 3.66,Female,6,2021-02-01 14:00:00,Excellent,50.0,2021-01-31 17:38:00,Fair,22.0,2021-01-31 16:31:00,Fair,5,2021-01-31 16:39:00,Fair,Satisfactory,Completed,100.0,13,2021-02-01 13:37:00,Satisfactory,35.0,2021-02-01 12:54:00,Fair,12.0,2021-02-01 13:07:00,Fair,7.0,2021-02-01 13:18:00,Fair,Fair,Completed,100.0,10.0,2021-02-07 13:15:00,Excellent,4.0,2021-02-07 13:17:00,Satisfactory,13.0,2021-02-01 14:13:00,Satisfactory,5.0,2021-02-01 14:43:00,Satisfactory,Very Good,Rewatched,103.2258065,3,0,1,3,1,0,3,1,0,5,0,1,8,afternoon,afternoon,afternoon,afternoon,afternoon,morning,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
3.67 - 4.00,Male,6,2021-02-03 10:36:00,Excellent,50.0,2021-02-03 12:21:00,Very Good,22.0,2021-02-03 10:31:00,Excellent,5,2021-02-03 09:59:00,Very Good,Very Good,Completed,100.0,13,2021-02-03 10:43:00,Satisfactory,35.0,2021-02-03 12:13:00,Excellent,12.0,2021-02-03 10:25:00,Very Good,7.0,2021-02-03 10:19:00,Satisfactory,Very Good,Completed,100.0,9.0,2021-02-03 10:39:00,Excellent,4.0,2021-02-03 10:30:00,Very Good,13.0,2021-02-03 10:27:00,Excellent,5.0,2021-02-03 10:19:00,Very Good,Very Good,Completed,100.0,7,0,1,1,0,1,7,1,0,7,0,1,2,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning
2.67 - 3.32,Male,6,2021-02-01 19:05:00,Very Good,50.0,2021-02-01 20:02:00,Very Good,22.0,2021-02-01 20:37:00,Very Good,5,2021-02-01 20:48:00,Very Good,Very Good,Completed,100.0,13,2021-02-01 21:12:00,Very Good,35.0,2021-02-01 21:51:00,Excellent,12.0,2021-02-01 22:03:00,Very Good,7.0,2021-02-01 22:14:00,Very Good,Very Good,Completed,100.0,9.0,2021-02-01 22:28:00,Excellent,4.0,2021-02-01 22:34:00,Very Good,13.0,2021-02-01 22:47:00,Excellent,5.0,2021-02-01 22:53:00,Very Good,Very Good,Completed,100.0,1,0,1,1,0,1,11,1,0,1,1,0,9,night,night,night,night,night,night,night,night,night,night,night,night
3.33 - 3.66,Male,6,2021-02-02 16:53:00,Satisfactory,50.0,2021-02-02 16:34:00,Very Good,22.0,2021-02-02 15:17:00,Very Good,5,2021-02-02 20:34:00,Very Good,Very Good,Completed,100.0,13,2021-02-02 17:26:00,Satisfactory,35.0,2021-02-02 18:16:00,Very Good,12.0,2021-02-02 20:27:00,Very Good,7.0,2021-02-02 15:28:00,Satisfactory,Very Good,Completed,100.0,8.0,2021-02-02 20:46:00,Satisfactory,4.0,2021-02-02 20:51:00,Very Good,13.0,2021-02-02 17:39:00,Very Good,5.0,2021-02-02 15:33:00,Very Good,Very Good,Half Watched,96.77419355,3,0,1,7,1,0,9,1,0,3,1,0,7,afternoon,afternoon,afternoon,night,afternoon,afternoon,night,afternoon,night,night,afternoon,afternoon
3.67 - 4.00,Male,6,2021-02-01 11:49:00,Excellent,50.0,2021-02-01 13:00:00,Excellent,22.0,2021-02-01 11:44:00,Excellent,5,2021-02-01 11:38:00,Very Good,Excellent,Completed,100.0,13,2021-02-01 13:25:00,Excellent,60.0,2021-02-01 13:37:00,Very Good,12.0,2021-01-31 14:43:00,Excellent,7.0,2021-01-31 14:31:00,Excellent,Excellent,Rewatched,137.3134328,15.0,2021-02-01 13:30:00,Excellent,5.0,2021-01-31 12:10:00,Excellent,13.0,2021-01-31 14:11:00,Very Good,5.0,2021-01-31 11:59:00,Excellent,Excellent,Rewatched,122.5806452,3,0,1,5,1,0,3,1,0,5,1,0,8,morning,afternoon,morning,morning,afternoon,afternoon,afternoon,afternoon,afternoon,morning,afternoon,morning
